"","Subject","Confidence","Color_label_matched","Language","Age","Gender","Language_spoken","rt","Condition","Condition_label","Chain","Generation","Color_label_source","Lightness_source","Lighness_matched","Saturation_source","Saturation_matched","Hue_source","Hue_matched","Unique_hue","Seed","Dif","RHAD","Error_rate_hue","Error_rate_sat"
"25","28dd",4,"seed grass green","English","24","female","geman",36850,"2","Naming transmission","0",0,"seed grass green",50,50,60,43,117.98,133,136.5,117.98,3.5,18.8984881209503,15.02,17
"26","28dd",4,"seed dark rose","English","24","female","geman",6990,"2","Naming transmission","0",0,"seed dark rose",50,50,60,52,327.55,321,372.2,327.55,51.2,114.669652855543,6.55000000000001,8
"27","28dd",4,"seed ocean blue","English","24","female","geman",16217,"2","Naming transmission","0",0,"seed ocean blue",50,50,60,71,179.34,180,193.6,179.34,13.6,95.3716690042076,0.659999999999997,11
"28","28dd",3,"seed mustard","English","24","female","geman",13305,"2","Naming transmission","0",0,"seed mustard",50,50,60,72,49.85,48,62.4,49.85,14.4,114.741035856574,1.85,12
"29","29mk",5,"seed dark rose","Danish","24","male","Dansk",18870,"2","Naming transmission","2",9,"seed mørk rosa",50,50,84,78,311,312,372.2,327.55,60.2,134.826427771557,1,6
"30","29mk",3,"seed grass green","Danish","24","male","Dansk",30742,"2","Naming transmission","2",9,"seed græsgrøn",50,50,86,70,123,94,136.5,117.98,42.5,229.481641468683,29,16
"31","29mk",4,"seed ocean blue","Danish","24","male","Dansk",12774,"2","Naming transmission","2",9,"seed havblå",50,50,67,67,182,183,193.6,179.34,10.6,74.3338008415147,1,0
"32","29mk",2,"seed mustard","Danish","24","male","Dansk",16274,"2","Naming transmission","2",9,"seed sennepsgul",50,50,78,66,45,40,62.4,49.85,22.4,178.486055776892,5,12
"33","2aq2",5,"seed ocean blue","Danish","21","male","Dansk",30029,"2","Naming transmission","4",0,"seed havblå",50,50,60,73,179.34,182,193.6,179.34,11.6,81.3464235624124,2.66,13
"34","2aq2",4,"seed grass green","Danish","21","male","Dansk",18222,"2","Naming transmission","4",0,"seed græsgrøn",50,50,60,66,117.98,120,136.5,117.98,16.5,89.0928725701944,2.02,6
"35","2aq2",5,"seed mustard","Danish","21","male","Dansk",17581,"2","Naming transmission","4",0,"seed sennepsgul",50,50,60,50,49.85,53,62.4,49.85,9.4,74.9003984063745,3.15,10
"36","2aq2",2,"seed dark rose","Danish","21","male","Dansk",63814,"2","Naming transmission","4",0,"seed mørk rosa",50,50,60,47,327.55,328,372.2,327.55,44.2,98.9921612541994,0.449999999999989,13
"37","2e48",5,"seed mustard","Danish","24","female","Dansk",7398,"2","Naming transmission","0",12,"seed sennepsgul",50,50,67,66,55,53,62.4,49.85,9.4,74.9003984063745,2,1
"38","2e48",2,"seed ocean blue","Danish","24","female","Dansk",21686,"2","Naming transmission","0",12,"seed havblå",50,50,73,51,181,188,193.6,179.34,5.59999999999999,39.2706872370266,7,22
"39","2e48",4,"seed grass green","Danish","24","female","Dansk",28308,"2","Naming transmission","0",12,"seed græsgrøn",50,50,67,56,118,107,136.5,117.98,29.5,159.287257019438,11,11
"40","2e48",5,"seed dark rose","Danish","24","female","Dansk",6992,"2","Naming transmission","0",12,"seed mørk rosa",50,50,65,55,307,306,372.2,327.55,66.2,148.264277715566,1,10
"41","2h6d",5,"seed dark rose","Danish","29","female","Dansk",27488,"1","Pure transmission","4",6,"seed mørk rosa",50,50,53,66,334,329,372.2,327.55,43.2,96.7525195968645,5,13
"42","2h6d",5,"seed ocean blue","Danish","29","female","Dansk",22211,"1","Pure transmission","4",6,"seed havblå",50,50,56,49,181,180,193.6,179.34,13.6,95.3716690042076,1,7
"43","2h6d",4,"seed mustard","Danish","29","female","Dansk",24315,"1","Pure transmission","4",6,"seed sennepsgul",50,50,65,69,56,57,62.4,49.85,5.4,43.0278884462151,1,4
"44","2h6d",5,"seed grass green","Danish","29","female","Dansk",14147,"1","Pure transmission","4",6,"seed græsgrøn",50,50,75,69,122,112,136.5,117.98,24.5,132.289416846652,10,6
"45","2l8a",5,"seed dark rose","Danish","22","male","Lykke",12843,"2","Naming transmission","1",1,"seed mørk rosa",50,50,60,67,325,320,372.2,327.55,52.2,116.909294512878,5,7
"46","2l8a",6,"seed mustard","Danish","22","male","Lykke",15614,"2","Naming transmission","1",1,"seed sennepsgul",50,50,50,48,47,47,62.4,49.85,15.4,122.709163346614,0,2
"47","2l8a",6,"seed ocean blue","Danish","22","male","Lykke",21986,"2","Naming transmission","1",1,"seed havblå",50,50,57,73,178,178,193.6,179.34,15.6,109.396914446003,0,16
"48","2l8a",6,"seed grass green","Danish","22","male","Lykke",21027,"2","Naming transmission","1",1,"seed græsgrøn",50,50,64,65,108,112,136.5,117.98,24.5,132.289416846652,4,1
"49","2uz9",5,"seed mustard","Danish","23","male","dansk",7658,"1","Pure transmission","2",10,"seed sennepsgul",50,50,46,48,48,46,62.4,49.85,16.4,130.677290836653,2,2
"50","2uz9",5,"seed ocean blue","Danish","23","male","dansk",14660,"1","Pure transmission","2",10,"seed havblå",50,50,69,73,179,181,193.6,179.34,12.6,88.35904628331,2,4
"51","2uz9",6,"seed dark rose","Danish","23","male","dansk",16771,"1","Pure transmission","2",10,"seed mørk rosa",50,50,43,52,298,295,372.2,327.55,77.2,172.900335946249,3,9
"52","2uz9",4,"seed grass green","Danish","23","male","dansk",21633,"1","Pure transmission","2",10,"seed græsgrøn",50,50,80,79,99,109,136.5,117.98,27.5,148.488120950324,10,1
"53","2zbd",4,"seed dark rose","Danish","24","female","rumænsk",14347,"1","Pure transmission","0",10,"seed mørk rosa",50,50,60,58,301,299,372.2,327.55,73.2,163.941769316909,2,2
"54","2zbd",5,"seed mustard","Danish","24","female","rumænsk",7563,"1","Pure transmission","0",10,"seed sennepsgul",50,50,50,51,58,60,62.4,49.85,2.4,19.1235059760956,2,1
"55","2zbd",4,"seed ocean blue","Danish","24","female","rumænsk",14789,"1","Pure transmission","0",10,"seed havblå",50,50,61,62,196,196,193.6,179.34,-2.40000000000001,-16.8302945301543,0,1
"56","2zbd",3,"seed grass green","Danish","24","female","rumænsk",23792,"1","Pure transmission","0",10,"seed græsgrøn",50,50,74,64,121,114,136.5,117.98,22.5,121.490280777538,7,10
"57","31xw",5,"seed ocean blue","Danish","26","female","Dansk",13857,"2","Naming transmission","0",7,"seed havblå",50,50,39,43,187,186,193.6,179.34,7.59999999999999,53.2959326788219,1,4
"58","31xw",5,"seed grass green","Danish","26","female","Dansk",21307,"2","Naming transmission","0",7,"seed græsgrøn",50,50,59,48,107,107,136.5,117.98,29.5,159.287257019438,0,11
"59","31xw",6,"seed dark rose","Danish","26","female","Dansk",16695,"2","Naming transmission","0",7,"seed mørk rosa",50,50,82,63,291,292,372.2,327.55,80.2,179.619260918253,1,19
"60","31xw",5,"seed mustard","Danish","26","female","Dansk",27141,"2","Naming transmission","0",7,"seed sennepsgul",50,50,43,63,52,52,62.4,49.85,10.4,82.8685258964144,0,20
"61","32a1",6,"seed mustard","Danish","24","male","Dansk",9763,"2","Naming transmission","3",4,"seed sennepsgul",50,50,52,45,50,51,62.4,49.85,11.4,90.8366533864542,1,7
"62","32a1",5,"seed ocean blue","Danish","24","male","Dansk",20389,"2","Naming transmission","3",4,"seed havblå",50,50,69,49,180,180,193.6,179.34,13.6,95.3716690042076,0,20
"63","32a1",5,"seed dark rose","Danish","24","male","Dansk",31118,"2","Naming transmission","3",4,"seed mørk rosa",50,50,68,75,331,329,372.2,327.55,43.2,96.7525195968645,2,7
"64","32a1",4,"seed grass green","Danish","24","male","Dansk",31143,"2","Naming transmission","3",4,"seed græsgrøn",50,50,57,52,136,121,136.5,117.98,15.5,83.6933045356372,15,5
"65","32hh",5,"seed grass green","English","27","female","danish",26423,"2","Naming transmission","0",13,"seed grass green",50,50,42,61,124,141,136.5,117.98,-4.5,-24.2980561555076,17,19
"66","32hh",5,"seed ocean blue","English","27","female","danish",3044,"2","Naming transmission","0",13,"seed ocean blue",50,50,81,86,191,190,193.6,179.34,3.59999999999999,25.2454417952314,1,5
"67","32hh",3,"seed mustard","English","27","female","danish",20032,"2","Naming transmission","0",13,"seed mustard",50,50,40,34,41,44,62.4,49.85,18.4,146.613545816733,3,6
"68","32hh",4,"seed dark rose","English","27","female","danish",3363,"2","Naming transmission","0",13,"seed dark rose",50,50,92,76,295,305,372.2,327.55,67.2,150.5039193729,10,16
"69","38mq",5,"seed grass green","Danish","52","female","dansk",17559,"1","Pure transmission","4",12,"seed græsgrøn",50,50,52,57,122,133,136.5,117.98,3.5,18.8984881209503,11,5
"70","38mq",3,"seed dark rose","Danish","52","female","dansk",39533,"1","Pure transmission","4",12,"seed mørk rosa",50,50,56,50,315,315,372.2,327.55,57.2,128.107502799552,0,6
"71","38mq",4,"seed mustard","Danish","52","female","dansk",38004,"1","Pure transmission","4",12,"seed sennepsgul",50,50,48,49,57,59,62.4,49.85,3.4,27.0916334661355,2,1
