"","Subject","Confidence","Color_label_matched","Language","Age","Gender","Language_spoken","rt","Condition","Condition_label","Chain","Generation","Color_label_source","Lightness_source","Lighness_matched","Saturation_source","Saturation_matched","Hue_source","Hue_matched","Focal","Seed","Secondary_focal","Dif","Dif_2","Rel_dif","Rel_dif_2","Accuracy_hue","Accuracy_sat"
"61","32a1",6,"seed mustard","Danish","24","male","Dansk",9763,"2","Naming transmission","3",4,"seed sennepsgul",50,50,52,45,50,51,62.4,49.85,26,11.4,25,90.8366533864542,104.82180293501,1,7
"62","32a1",5,"seed ocean blue","Danish","24","male","Dansk",20389,"2","Naming transmission","3",4,"seed havblå",50,50,69,49,180,180,193.6,179.34,136.5,13.6,43.5,95.3716690042076,101.540616246499,0,20
"63","32a1",5,"seed dark rose","Danish","24","male","Dansk",31118,"2","Naming transmission","3",4,"seed mørk rosa",50,50,68,75,331,329,372.2,327.55,278,43.2,51,96.7525195968645,102.9263370333,2,7
"64","32a1",4,"seed grass green","Danish","24","male","Dansk",31143,"2","Naming transmission","3",4,"seed græsgrøn",50,50,57,52,136,121,136.5,117.98,62.4,15.5,58.6,83.6933045356372,105.433609211947,15,5
"65","32hh",5,"seed grass green","English","27","female","danish",26423,"2","Naming transmission","0",13,"seed grass green",50,50,42,61,124,141,136.5,117.98,62.4,-4.5,78.6,-24.2980561555076,141.417776178481,17,19
"66","32hh",5,"seed ocean blue","English","27","female","danish",3044,"2","Naming transmission","0",13,"seed ocean blue",50,50,81,86,191,190,193.6,179.34,136.5,3.59999999999999,53.5,25.2454417952314,124.883286647993,1,5
"67","32hh",3,"seed mustard","English","27","female","danish",20032,"2","Naming transmission","0",13,"seed mustard",50,50,40,34,41,44,62.4,49.85,26,18.4,18,146.613545816733,75.4716981132075,3,6
"68","32hh",4,"seed dark rose","English","27","female","danish",3363,"2","Naming transmission","0",13,"seed dark rose",50,50,92,76,295,305,372.2,327.55,278,67.2,27,150.5039193729,54.4904137235116,10,16
"69","38mq",5,"seed grass green","Danish","52","female","dansk",17559,"1","Pure transmission","4",12,"seed græsgrøn",50,50,52,57,122,133,136.5,117.98,62.4,3.5,70.6,18.8984881209503,127.024109391868,11,5
"70","38mq",3,"seed dark rose","Danish","52","female","dansk",39533,"1","Pure transmission","4",12,"seed mørk rosa",50,50,56,50,315,315,372.2,327.55,278,57.2,37,128.107502799552,74.6720484359233,0,6
"71","38mq",4,"seed mustard","Danish","52","female","dansk",38004,"1","Pure transmission","4",12,"seed sennepsgul",50,50,48,49,57,59,62.4,49.85,26,3.4,33,27.0916334661355,138.364779874214,2,1
"72","38mq",3,"seed ocean blue","Danish","52","female","dansk",65469,"1","Pure transmission","4",12,"seed havblå",50,50,61,53,188,185,193.6,179.34,136.5,8.59999999999999,48.5,60.3085553997195,113.211951447246,3,8
"73","3b4k",4,"seed mustard","Danish","26","male","Dansk",8392,"1","Pure transmission","2",9,"seed sennepsgul",50,50,56,46,47,48,62.4,49.85,26,14.4,22,114.741035856574,92.2431865828092,1,10
"74","3b4k",1,"seed ocean blue","Danish","26","male","Dansk",42823,"1","Pure transmission","2",9,"seed havblå",50,50,66,69,179,179,193.6,179.34,136.5,14.6,42.5,102.384291725105,99.2063492063492,0,3
"75","3b4k",1,"seed dark rose","Danish","26","male","Dansk",22558,"1","Pure transmission","2",9,"seed mørk rosa",50,50,40,43,302,298,372.2,327.55,278,74.2,20,166.181410974244,40.3632694248234,4,3
"76","3b4k",3,"seed grass green","Danish","26","male","Dansk",11589,"1","Pure transmission","2",9,"seed græsgrøn",50,50,83,80,111,99,136.5,117.98,62.4,37.5,36.6,202.483801295896,65.8510255487585,12,3
"77","3rnx",6,"seed grass green","Danish","23","male","Dansk",36659,"2","Naming transmission","1",2,"seed græsgrøn",50,50,65,68,112,112,136.5,117.98,62.4,24.5,49.6,132.289416846652,89.2407340770061,0,3
"78","3rnx",5,"seed ocean blue","Danish","23","male","Dansk",52154,"2","Naming transmission","1",2,"seed havblå",50,50,73,69,178,179,193.6,179.34,136.5,14.6,42.5,102.384291725105,99.2063492063492,1,4
"79","3rnx",6,"seed mustard","Danish","23","male","Dansk",32594,"2","Naming transmission","1",2,"seed sennepsgul",50,50,48,60,47,47,62.4,49.85,26,15.4,21,122.709163346614,88.0503144654088,0,12
"80","3rnx",6,"seed dark rose","Danish","23","male","Dansk",17133,"2","Naming transmission","1",2,"seed mørk rosa",50,50,67,66,320,317,372.2,327.55,278,55.2,39,123.628219484882,78.7083753784056,3,1
"81","3sg3",5,"seed ocean blue","Danish","61","male","dansk",169539,"2","Naming transmission","3",9,"seed havblå",50,50,63,61,180,180,193.6,179.34,136.5,13.6,43.5,95.3716690042076,101.540616246499,0,2
"82","3sg3",5,"seed grass green","Danish","61","male","dansk",34450,"2","Naming transmission","3",9,"seed græsgrøn",50,50,44,45,108,108,136.5,117.98,62.4,28.5,45.6,153.887688984881,82.0439006836992,0,1
"83","3sg3",0,"seed mustard","Danish","61","male","dansk",300003,"2","Naming transmission","3",9,"seed sennepsgul",50,50,66,51,48,48,62.4,49.85,26,14.4,22,114.741035856574,92.2431865828092,0,15
"84","3sg3",4,"seed dark rose","Danish","61","male","dansk",130954,"2","Naming transmission","3",9,"seed mørk rosa",50,50,68,59,325,320,372.2,327.55,278,52.2,42,116.909294512878,84.7628657921291,5,9
"85","3tb6",4,"seed mustard","Danish","32","female","dansk",12954,"1","Pure transmission","2",0,"seed sennepsgul",50,50,60,63,49.85,52,62.4,49.85,26,10.4,26,82.8685258964144,109.014675052411,2.15,3
"86","3tb6",3,"seed grass green","Danish","32","female","dansk",18189,"1","Pure transmission","2",0,"seed græsgrøn",50,50,60,67,117.98,119,136.5,117.98,62.4,17.5,56.6,94.4924406047516,101.835192515293,1.02,7
"87","3tb6",5,"seed ocean blue","Danish","32","female","dansk",9404,"1","Pure transmission","2",0,"seed havblå",50,50,60,60,179.34,179,193.6,179.34,136.5,14.6,42.5,102.384291725105,99.2063492063492,0.340000000000003,0
"88","3tb6",2,"seed dark rose","Danish","32","female","dansk",69793,"1","Pure transmission","2",0,"seed mørk rosa",50,50,60,51,327.55,332,372.2,327.55,278,40.2,54,90.03359462486,108.980827447023,4.44999999999999,9
"89","3wa5",5,"seed ocean blue","Danish","31","female","Dansk",5650,"1","Pure transmission","1",4,"seed havblå",50,50,69,70,179,178,193.6,179.34,136.5,15.6,41.5,109.396914446003,96.8720821661998,1,1
"90","3wa5",3,"seed dark rose","Danish","31","female","Dansk",34784,"1","Pure transmission","1",4,"seed mørk rosa",50,50,57,68,301,298,372.2,327.55,278,74.2,20,166.181410974244,40.3632694248234,3,11
"91","3wa5",2,"seed mustard","Danish","31","female","Dansk",46077,"1","Pure transmission","1",4,"seed sennepsgul",50,50,65,77,44,45,62.4,49.85,26,17.4,19,138.645418326693,79.6645702306079,1,12
"92","3wa5",5,"seed grass green","Danish","31","female","Dansk",16215,"1","Pure transmission","1",4,"seed græsgrøn",50,50,71,70,106,105,136.5,117.98,62.4,31.5,42.6,170.086393088553,76.646275638719,1,1
"93","4h26",5,"seed grass green","English","25","female","English",16219,"1","Pure transmission","0",5,"seed grass green",50,50,59,70,106,118,136.5,117.98,62.4,18.5,55.6,99.8920086393089,100.035984166967,12,11
"94","4h26",4,"seed mustard","English","25","female","English",15633,"1","Pure transmission","0",5,"seed mustard",50,50,71,65,37,39,62.4,49.85,26,23.4,13,186.454183266932,54.5073375262054,2,6
"95","4h26",5,"seed dark rose","English","25","female","English",16647,"1","Pure transmission","0",5,"seed dark rose",50,50,57,76,313,298,372.2,327.55,278,74.2,20,166.181410974244,40.3632694248234,15,19
