"","Subject","Confidence","Color_label_matched","Language","Age","Gender","Language_spoken","rt","Condition","Condition_label","Chain","Generation","Color_label_source","Lightness_source","Lighness_matched","Saturation_source","Saturation_matched","Hue_source","Hue_matched","Focal","Seed","Secondary_focal","Dif","Dif_2","Rel_dif","Rel_dif_2","Accuracy_hue","Accuracy_sat"
"153","7t79",5,"seed dark rose","Danish","74","female","dansk",14898,"1","Pure transmission","0",3,"seed mørk rosa",50,50,65,63,319,320,372.2,327.55,278,52.2,42,116.909294512878,84.7628657921291,1,2
"154","7t79",5,"seed mustard","Danish","74","female","dansk",12402,"1","Pure transmission","0",3,"seed sennepsgul",50,50,65,58,55,60,62.4,49.85,26,2.4,34,19.1235059760956,142.557651991614,5,7
"155","7t79",4,"seed ocean blue","Danish","74","female","dansk",26925,"1","Pure transmission","0",3,"seed havblå",50,50,60,56,182,190,193.6,179.34,136.5,3.59999999999999,53.5,25.2454417952314,124.883286647993,8,4
"156","7t79",5,"seed grass green","Danish","74","female","dansk",19148,"1","Pure transmission","0",3,"seed græsgrøn",50,50,75,68,132,100,136.5,117.98,62.4,36.5,37.6,197.084233261339,67.6502338970853,32,7
"157","7zbg",5,"seed ocean blue","Danish","25","male","Dansk",27996,"2","Naming transmission","3",12,"seed havblå",50,50,54,65,181,182,193.6,179.34,136.5,11.6,45.5,81.3464235624124,106.209150326797,1,11
"158","7zbg",5,"seed dark rose","Danish","25","male","Dansk",39214,"2","Naming transmission","3",12,"seed mørk rosa",50,50,66,54,296,300,372.2,327.55,278,72.2,22,161.702127659575,44.3995963673057,4,12
"159","7zbg",4,"seed mustard","Danish","25","male","Dansk",27280,"2","Naming transmission","3",12,"seed sennepsgul",50,50,40,46,53,59,62.4,49.85,26,3.4,33,27.0916334661355,138.364779874214,6,6
"160","7zbg",4,"seed grass green","Danish","25","male","Dansk",15916,"2","Naming transmission","3",12,"seed græsgrøn",50,50,56,69,128,111,136.5,117.98,62.4,25.5,48.6,137.68898488121,87.4415257286794,17,13
"161","80cs",6,"seed ocean blue","Danish","21","male","Dansk",30315,"1","Pure transmission","0",1,"seed havblå",50,50,64,52,179,180,193.6,179.34,136.5,13.6,43.5,95.3716690042076,101.540616246499,1,12
"162","80cs",5,"seed grass green","Danish","21","male","Dansk",24091,"1","Pure transmission","0",1,"seed græsgrøn",50,50,61,62,113,117,136.5,117.98,62.4,19.5,54.6,105.291576673866,98.2367758186398,4,1
"163","80cs",5,"seed mustard","Danish","21","male","Dansk",12264,"1","Pure transmission","0",1,"seed sennepsgul",50,50,62,64,50,52,62.4,49.85,26,10.4,26,82.8685258964144,109.014675052411,2,2
"164","80cs",4,"seed dark rose","Danish","21","male","Dansk",22514,"1","Pure transmission","0",1,"seed mørk rosa",50,50,65,59,327,327,372.2,327.55,278,45.2,49,101.231802911534,98.8900100908173,0,6
"165","839z",1,"seed dark rose","Danish","23","male","Dansk",6032,"2","Naming transmission","0",3,"seed mørk rosa",50,50,40,57,322,315,372.2,327.55,278,57.2,37,128.107502799552,74.6720484359233,7,17
